lexeme_russian	number_syllables	onset	coda
V-W-V-N-O-V-R-V-O-O	4	V	O-O
V-W-V-N-O-V-R-V-O-O-V-O-V-O-O-V-J	7	V	J
V-W-V-N-O-V-R-V-O-O-V-O-N-V-J	6	V	J
V-W-V-N-O-V-R-V-O-O-O-V	5	V	V
V-W-V-N-O-V-R-V-O-O-O-O-V-J	5	V	J
V-W-V-N-O-V-R-N-V-O-O	4	V	O-O
V-W-V-N-O-V-R-N-V-J	4	V	J
V-W-V-R	2	V	R
V-W-V-R-V-O	3	V	O
V-W-V-R-V-J-N-V-O-O	4	V	O-O
V-W-V-R-V-J-N-V-J	4	V	J
V-W-V-R-V-J-O-V-O	4	V	O
V-W-V-R-V-V	4	V	V
V-W-V-R-O-V	3	V	V
V-W-V-R-O-O-V-J	3	V	J
V-W-V-O-V-R	3	V	R
V-W-W-V-O-V-N	3	V	N
V-W-O-V-V-W	3	V	W
V-W-O-V-O	2	V	O
V-W-O-V-R	2	V	R
V-W-O-V-O-O	2	V	O-O
V-W-O-V-O-O-V-J-O-V-J	4	V	J
V-W-O-V-O-O-V-N	3	V	N
V-W-O-V-O-O-V-N-V	4	V	V
V-W-O-V-O-O-V-N-V-O	4	V	O
V-W-O-V-O-O-V-W-O-O-V-J	4	V	J
V-W-O-V-O-O-V	3	V	V
V-W-V-L	2	V	L
V-W-V-N-V	3	V	V
V-W-V-R-O	2	V	R-O
V-W-V-O-O-V-J-O-O-V-J	4	V	J
V-W-V-V-O-V-O-V	5	V	V
V-W-V-V-O-V-N-O-V-N	5	V	N
V-W-V-V-O-V-L-V-O	5	V	O
V-W-V-V-O-V-R-V-O-V-N-O	6	V	N-O
V-W-V-V-O-W-V-O-V-O-V-L	6	V	L
V-W-V-V-O-V-O-V-N-O	5	V	N-O
V-W-V-V-O-V-O-V-N-O-N-V-J	6	V	J
V-W-V-V-O-V-W-V-O	5	V	O
V-W-V-V-O-V-R-V-O-V-N	6	V	N
V-W-V-V-O-V-N-O-V-N-V-V	7	V	V
V-W-V-V-O-V-N-O-O-R-V-O-O-V-R	6	V	R
V-W-V-V-O-R-V-L-V	5	V	V
V-W-V-V-L-V-N-V-V	6	V	V
V-W-V-V-N-V-O-O-V	5	V	V
V-W-V-V-N-V-O-V-L-V-O-N	6	V	O-N
V-W-V-V-N-V-O-V-L-V-O-O	6	V	O-O
V-W-V-V-N-V-O-V-L	5	V	L
V-W-V-V-N-V-O-V-L-N-V-J	6	V	J
V-W-V-V-N-V-O-V-R	5	V	R
V-W-V-V-N-V-O-V-R-N-V-J	6	V	J
V-W-V-V-N-V-O-V-O	5	V	O
V-W-V-V-O-V-O-O-V	5	V	V
V-W-V-V-O-R-V-O-V-R	5	V	R
V-W-V-V-O-R-V-N-V-O-L-V-N-N-V-O-O	7	V	O-O
V-W-V-V-O-R-V-N-V-O-L-V-N-N-V-J	7	V	J
V-W-V-V-R-V-O-W-V-O-O-V	6	V	V
V-W-V-V-O-O-R-V-J-V-N-V-V	7	V	V
V-W-V-V-O-O-R-V-V-O-V-L	6	V	L
V-W-V-V-O-O-R-V-V-O-V-L-N-V-J	7	V	J
V-W-V-V-O-O-R-V-V-O-V-L-O-O-W-V	7	V	V
V-W-V-V-O-J-V-N-O-V	5	V	V
V-W-V-V-O-V-O-N-V-O	5	V	O
V-W-V-V-O-V-R	4	V	R
V-W-V-V-O-V-R-O-O-V-J	5	V	J
V-W-V-V-O-R-V-N-O-O-V-R-O	5	V	R-O
V-W-V-V-O-R-V-N-O-O-V-R-O-N-V-J	6	V	J
V-W-V-V-O-R-V-O-O-V	5	V	V
V-W-V-V-O-V-V-N-N-V-J	6	V	J
V-W-V-V-O-V-V	5	V	V
V-W-V-V-O-V-O-O	4	V	O-O
V-W-V-V-O-O-V-L-V	5	V	V
V-W-V-V-O-O-V	4	V	V
V-W-V-O-V-R-V-W-V-O	5	V	O
V-W-V-O-N-V-J	3	V	J
V-W-V-O-V	3	V	V
V-W-V-O-V-N-V-N-V-O	5	V	O
V-W-V-O-V-N-V-N-V-O-N-V-J	6	V	J
V-W-V-O-V-V-N-V	5	V	V
V-W-V-O-V-O-V	4	V	V
V-W-V-O	2	V	O
V-W-V-O	2	V	O
V-W-V-O-O-V	3	V	V
V-W-R-V-V-N	3	V	N
V-W-R-V-L	2	V	L
V-W-R-V-L-V-O	3	V	O
V-W-R-V-L-N-V-J	3	V	J
V-W-R-V-N	2	V	N
V-W-R-V-L-V-V	4	V	V
V-W-R-V	2	V	V
V-W-R-V-R-V	3	V	V
V-W-R-V-R-V	3	V	V
V-W-O-O-R-V-L-V-V-O	4	V	O
V-W-O-O-R-V-L-V-J-O-V	4	V	V
V-W-O-O-R-V-L-V-J-O-O-V-J	4	V	J
V-W-O-O-R-V-L-V-V	4	V	V
V-W-O-O-R-V-L-V-V-O	4	V	O
V-W-O-O-R-V-L-V-V-O-N-V-J	5	V	J
V-W-O-O-R-V-L-V-O-V-O-V-O	5	V	O
V-W-O-O-R-V-V-O	3	V	O
V-W-O-O-R-V-J-O-V	3	V	V
V-W-O-O-R-V-J-O-O-V-J	3	V	J
V-W-O-O-R-V-V	3	V	V
V-W-O-O-R-V-V-O	3	V	O
V-W-O-O-R-V-V-O-O-V	4	V	V
V-W-O-O-R-V-W-V-N-O-V-R-O-O-V-J	5	V	J
V-W-O-O-R-V-W-V-N-O-R-V-V	5	V	V
V-W-O-V-R-O-V-O-V-O-O-V-J	5	V	J
V-W-O-V-R-O-V-V	4	V	V
V-W-O-V	2	V	V
V-W-O-V-O-V-O-V	4	V	V
V-W-O-V-O-V-O-N-V-O	4	V	O
V-W-O-V-O-V-V-O-R-V-O-V-O-V-O-O-V-J	8	V	J
V-W-O-V-O-V-V-O-R-V-O-V-O-N-V-O-O	7	V	O-O
V-W-O-V-O-V-V-O-R-V-O-V-O-N-V-J	7	V	J
V-W-O-V-O-V-V-O-R-V-O-V-V	7	V	V
V-W-O-V-O-L-V-O-V-R-V-W-O-V	6	V	V
V-W-O-V-O-L-V-O-V-R-V-W-V-O-N-V-J	7	V	J
V-W-O-V-O-V-O	3	V	O
V-W-O-V-O-V-O-N-V-O	4	V	O
V-W-O-V-O-V-O-N-V-J	4	V	J
V-W-O-V-W-V-O	3	V	O
V-W-O-V-W-V-O-O-V-N-V	5	V	V
V-W-O-V-W-V-O-V	4	V	V
V-W-O-V-W-V-O	3	V	O
V-W-O-V-W-V-O-O-V-L	4	V	L
V-W-O-V-W-V-O-O-V	4	V	V
V-W-O-V-O-V-N-V-V	5	V	V
V-W-O-V-O-V-N	3	V	N
V-W-O-V-O-V-N-V-O	4	V	O
V-W-O-V-O-V-N-V-R-V-O-V-R	6	V	R
V-W-O-V-O-V-N-N-V-J	4	V	J
V-W-O-V-O-V-N-O-V-O	4	V	O
V-W-O-V-O-V-O-N-V-O	4	V	O
V-W-O-V-O-V-N-O-V	4	V	V
V-W-O-V-O-R-V-W-V-R-V	5	V	V
V-W-O-V-O-R-V-O	3	V	O
V-W-O-V-O-R-V-O-V-O-V-O-O-V-J	6	V	J
V-W-O-V-O-R-V-O-V-V	5	V	V
V-W-O-V-O-V-O-V-W-V-J	5	V	J
V-W-O-V-O-V-O-V	4	V	V
V-W-O-V-O-V-R-O-V-O-V-L	5	V	L
V-W-O-V-O-V-O-V-O-O	4	V	O-O
V-W-O-V-O-V-J-V-N-V-V	6	V	V
V-W-O-V-O-V-O	3	V	O
V-W-O-V-O-V-R-V-O-N-V-O	5	V	O
V-W-O-V-O-V-R-V-O-N-V-J	5	V	J
V-W-O-V-O-R-V-O-V-N-V	5	V	V
V-W-O-V-O-R-V-N	3	V	N
V-W-O-V-O-V-R	3	V	R
V-W-O-V-O-V-W-V-O	4	V	O
V-W-O-V-O-V-W-V-O-V-O	5	V	O
V-W-O-V-O-V-W-V-O-O-O-V-J	5	V	J
V-W-O-V-O-V-W-V-O-O-O-V-J	5	V	J
V-W-O-V-O-V-O	3	V	O
V-W-O-V-O-V-O-R-V-W-V-O-N-V-J	6	V	J
V-W-O-V-O-V-O-R-V-W-O-V-O	5	V	O
V-W-O-V-O-V-O-O-V-O-O-V	5	V	V
V-W-O-V-O-V-N-N-V-O	4	V	O
V-W-O-V-V-N-O-O-V-O-O-V-R	5	V	R
V-W-O-V-V-N-O-O-V-O-O-V-R	5	V	R
V-W-O-V-V-N-O-O-V-O-O-V-V	6	V	V
V-W-O-V-O-V-R	3	V	R
V-W-O-V-O-V-R-V	4	V	V
V-W-O-V-O-V-O-V-L-V-O	5	V	O
V-W-O-V-O-V-O-V-O-O-R-V-O-V	6	V	V
V-W-O-V-O-V-O-V-L-V-V	6	V	V
V-W-O-V-O-V-O-V-L-N-V-J	5	V	J
V-W-O-V-O-L-V-W	3	V	W
V-W-O-V-O-L-V-O	3	V	O
V-W-O-V-O-V-L-V-N-N-V	5	V	V
V-W-O-V-O-V-N-O-V-N-V-O	5	V	O
V-W-O-V-O-R-V-N	3	V	N
V-W-O-V-O-R-V-O	3	V	O
V-W-O-V-O-R-V-O-V-O-V-O-O-V-J	6	V	J
V-W-O-V-O-R-V-O-V-V	5	V	V
V-W-O-V-O-R-V-O-L-V	4	V	V
V-W-O-V-O-R-V-O-V-O	4	V	O
V-W-O-V-L	2	V	L
V-W-O-V-L-V-W-O-V	4	V	V
V-W-O-V-L-V-O	3	V	O
V-W-O-V-L-V-O-V-O-R-V-O-V-V	7	V	V
V-W-O-V-L-V-O-V-O-V-L	5	V	L
V-W-O-V-L-V-O-V-O-V-L-O-O-W-V	6	V	V
V-W-O-V-N-V-O-V-O-O-R-V-L	5	V	L
V-W-O-V-N-V-O	3	V	O
V-W-O-V-N-V-O-V-O-V-O-V-V	7	V	V
V-W-O-V-N-V-O-V-O-V-R-V-W-V-N-V-V	9	V	V
V-W-O-V-N-V-O-V-O-V-R-V-W-V-O	7	V	O
V-W-O-V-N-V-O-V-O-V-R-V-W-V-O-O-V	8	V	V
V-W-O-V-N-V-O-V-O-N	4	V	O-N
V-W-O-V-N-V-O-V-O-V	5	V	V
V-W-O-V-N-V-O-V-O-V-O-O-V-J	6	V	J
V-W-O-V-N-V-O-V-O-N-V-O-O	5	V	O-O
V-W-O-V-N-V-O-V-O-N-V-J	5	V	J
V-W-O-V-N-V-O-N-V-J	4	V	J
V-W-O-V-N-V-O-O-V-O	4	V	O
V-W-O-V-N-V-O-O-V-O-V	5	V	V
V-W-O-V-N-V-O-V-N-V	5	V	V
V-W-O-V-N-V-O-V-N-V-O-O	5	V	O-O
V-W-O-V-N-V-O-V-N-V-O	5	V	O
V-W-O-V-N-V-O-V-L-V-O-O-R-V-J-V-N-V-V	9	V	V
V-W-O-V-N-V-O-V-L-V-O-O-R-V-V-O-V-L	8	V	L
V-W-O-V-N-V-O-V-L-V-O-O-R-V-V-O-V-L-N-V-J	9	V	J
V-W-O-V-N-V-O-V-L-V-O-V-O-V-V	8	V	V
V-W-O-V-N-V-O-V-L-V-O-N	5	V	O-N
V-W-O-V-N-V-O-V-L-V-O-O	5	V	O-O
V-W-O-V-N-V-O-V-L-V-O-O-O-V	6	V	V
V-W-O-V-N-V-O-V-L	4	V	L
V-W-O-V-N-V-O-V-L-N-V-J	5	V	J
V-W-O-V-N-V-O-V-L-O-V-O	5	V	O
V-W-O-V-N-V-R-O-V-O-N	4	V	O-N
V-W-O-V-N-V-O-V-O-L-V-O	5	V	O
V-W-O-V-N-V-O-V-R-N-V-J	5	V	J
V-W-O-V-N-V-O-V-O-O-V-L-V	6	V	V
V-W-O-V-N-V-O-R-V-O-V	5	V	V
V-W-O-V-N-V-N-V-O-O	4	V	O-O
V-W-O-V-N-V-N-V-O-O-O-O-V-J	5	V	J
V-W-O-V-N-V-N-V-O-V-O-O-V-J	6	V	J
V-W-O-V-N-V-N-V-V	5	V	V
V-W-O-V-N-V-N-N-V-O-O	4	V	O-O
V-W-O-V-N-V-N-N-V-J	4	V	J
V-W-O-V-O-V-R-O	3	V	R-O
V-W-O-V-O-V-R-V-W-V-O-O-V	6	V	V
V-W-O-V-O-V-L-V-O	4	V	O
V-W-O-V-O-L-V-O-O-V-O-V	5	V	V
V-W-O-V-O-L-V-O-V-O	4	V	O
V-W-O-V-O-L-V-O	3	V	O
V-W-O-V-O-V-O-R-V-O-O-V-O	5	V	O
V-W-O-V-O-V-O-J-V-N-N-V-O	5	V	O
V-W-O-V-O-V-J-V-O-O	4	V	O-O
V-W-O-V-O-V-V-L-O-V	5	V	V
V-W-O-V-O-V-O-R-V-O-O-V	5	V	V
V-W-O-V-O-V-R-O-R-V-O	4	V	O
V-W-O-V-O-R-V-O-V-O	4	V	O
V-W-O-V-O-R-V-N	3	V	N
V-W-O-V-O-R-V-N-V-O-L-V-N-N-V-O-O	6	V	O-O
V-W-O-V-R	2	V	R
V-W-O-V-R-V-L-L-V	4	V	V
V-W-O-V-R-V-O-V-L-V-O-V-R	6	V	R
V-W-O-V-R-V-N-V-N-O-N-V-O	5	V	O
V-W-O-V-R-V-N-V-N-O-N-V-J	5	V	J
V-W-O-V-R-V-O-V-R-V-O	5	V	O
V-W-O-V-R-V-O-R-V-O-V-R-V-O-V-R	7	V	R
V-W-O-V-R-V-O-V-O-V-V	6	V	V
V-W-O-V-R-V-O-V-W-V-N-N-V-J	6	V	J
V-W-O-V-R-V-O-V-W-V-O	5	V	O
V-W-O-V-R-V-O-V-R-V-O-N	5	V	O-N
V-W-O-V-R-V-O-V-R-N-V-O-O	5	V	O-O
V-W-O-V-R-V-O-V-R-N-V-J	5	V	J
V-W-O-V-R-V-O-V-O	4	V	O
V-W-O-V-R-V-O-V-O-N-V-O-O	5	V	O-O
V-W-O-V-R-V-O-V-O-N-V-J	5	V	J
V-W-O-V-R-V-O-V	4	V	V
V-W-O-V-R-O-O-V-V	4	V	V
V-W-O-V-R-O-O-V-J	3	V	J
V-W-O-V-R-O-O-W-V	3	V	V
V-W-O-V-R-V-L-V-W-V-J	5	V	J
V-W-O-V-R-V-O-O-V	4	V	V
V-W-O-V-O-V-L-V-N	4	V	N
V-W-O-V-O-V-N-V	4	V	V
V-W-O-V-O-O-V-R-O-V	4	V	V
V-W-O-V-O-W-V-R-O-V-O	4	V	O
V-W-O-V-O-O-V-R-O	3	V	R-O
V-W-O-V-O-O-V-N-O-V-V	5	V	V
V-W-O-V-O-O-V-O	3	V	O
V-W-O-V-O-O-V-J-V-N-O-V	5	V	V
V-W-O-V-O-O-R-V-O-V	4	V	V
V-W-O-V-O-O-R-V-J-V-N-V-V	6	V	V
V-W-O-V-O-O-R-V-V-O-V-L	5	V	L
V-W-O-V-O-O-V-O-O-V	4	V	V
V-W-O-V-O-V-L-V-O-O-V	5	V	V
V-W-O-V-O-V-O	3	V	O
V-W-O-V-O-V-O-V-O-V-O-O-V-J	6	V	J
V-W-O-V-O-V-O-V-V	5	V	V
V-W-O-V-O-V-O-N-V-J	4	V	J
V-W-O-V-O-V-N-V-V	5	V	V
V-W-O-V-O-V-R-N-V-O	4	V	O
V-W-O-V-O-V-R-N-V-O-N-V-J	5	V	J
V-W-O-V-O-R-V-O-O-V-R-N-V-J	5	V	J
V-W-O-V-O-R-V-N-O-O-V-R-O	4	V	R-O
V-W-O-V-O-R-V-N-O-O-V-R-O-N-V-J	5	V	J
V-W-O-V-O-R-V-N-O-O-V-R-N-V-O-V-R	6	V	R
V-W-O-V-O-R-V-O-O-V	4	V	V
V-W-O-V-O-R-V-J-L-V-R	4	V	R
V-W-O-V-O-V-R-V-O-N	4	V	O-N
V-W-O-V-O-V-R-V-O-O	4	V	O-O
V-W-O-V-V-O-L-V-O-O-V-O	5	V	O
V-W-O-V-O-V-R-O-V-N	4	V	N
V-W-O-V-O-V-O-V-J-O-O-W-V	5	V	V
V-W-O-V-O-R-V-N	3	V	N
V-W-O-V-O-R-V-N-N-V-J	4	V	J
V-W-O-V-O-O-V-N	3	V	N
V-W-O-V-O-O-V-N	3	V	N
V-W-O-V-O-O-V-N-N-V-J	4	V	J
V-W-O-V-O-V-O-O-V-R-N-V	5	V	V
V-W-O-V-O-V-O-O	3	V	O-O
V-W-O-V-O-O-V-L-V	4	V	V
V-W-O-V-O-O-V-R-N-V-N	4	V	N
V-W-V-V-R-V	4	V	V
V-O-V	2	V	V
V-O-V	2	V	V
V-O-V	2	V	V
V-O-V-W-V	3	V	V
V-O-V-L-V-O	3	V	O
V-O-V-L-N-V-O-V-L-V-O	5	V	O
V-O-V-N-V	3	V	V
V-O-V-N-V	3	V	V
V-O-V-N-V-V	4	V	V
V-O-V-N-V-O-V-N-V-V	6	V	V
V-O-V-R-V-O-V-R	4	V	R
V-O-V-R-N-V-J	3	V	J
V-O-V-R-V-W-V-J	4	V	J
V-O-V-R-V-N-V-N	4	V	N
V-O-V-O-V	3	V	V
V-O-V-O	2	V	O
V-O-V-O-V	3	V	V
V-O-V-O-N-V-J	3	V	J
V-O-V-O-V-W-V-J	4	V	J
V-O-V-O-V-N	3	V	N
V-O-W-V-L-V	3	V	V
V-O-O-L-V-O-V-N-V-O-V-W-N-V-O-O	6	V	O-O
V-O-O-L-V-O-V-N-V-O-V-W-N-V-J	6	V	J
V-O-O-L-V-O-V-N-V-O-V-V	6	V	V
V-O-O-L-V-O-V-N-V-N	4	V	N
V-O-O-L-V-O-V-N-V-R-V-J-V-O-V-J	7	V	J
V-O-O-R-V-W-V-O-V-V	5	V	V
V-O-V-N-O	2	V	N-O
V-O-V-N-O	2	V	N-O
V-O-V-N-O-O-O-V-J	3	V	J
V-O-V-N-O-O-O-W-V	3	V	V
V-O-V-N-O-V-R-V	4	V	V
V-O-V-N-O-V-R-N-V-J	4	V	J
V-O-V-V-O-R-V-O-V-O-V-O-O-V-J	7	V	J
V-O-V-V-O-R-V-O-V-V	6	V	V
V-O-V-V-L-V-O-V-V	6	V	V
V-O-V-V-O-O-V-O-V-N-V-O	6	V	O
V-O-V-O-V-O-V-R	4	V	R
V-O-V-O-V-O-V-R-O-O-V-J	5	V	J
V-O-V-O-V-O-V-R-O-V	5	V	V
V-O-V-O-V-O-V-V-N-N-V-J	6	V	J
V-O-V-O-V-O-V-V	5	V	V
V-O-V-O-O-R-V-O-V-O-V	5	V	V
V-O-V-O-V-R-V-W-V-O	5	V	O
V-O-V-O-O-V	3	V	V
V-O-V-O-O-V-N-O-V-N-V-V	6	V	V
V-O-V-O-N-V-O-O-V-W-V-J	5	V	J
V-O-V-O-O-V-J-V-O-O	4	V	O-O
V-O-V-O-O-R-V-O	3	V	O
V-O-V-O-O-V-N-O-O	3	V	N-O-O
V-O-L-V-J-V	3	V	V
